date,Station,phyto
2024-05-16 00:00:00.000000000,FAR1,20
2024-05-22 00:00:00.000000000,FAR1,20
2024-06-05 00:00:00.000000000,FAR1,520
2024-06-19 00:00:00.000000000,FAR1,20
2024-06-26 00:00:00.000000000,FAR1,20
2024-07-04 00:00:00.000000000,FAR1,20
2024-07-08 00:00:00.000000000,FAR1,40
2024-07-15 00:00:00.000000000,FAR1,20
2024-07-24 00:00:00.000000000,FAR1,20
2024-07-31 00:00:00.000000000,FAR1,20
2024-08-21 00:00:00.000000000,FAR1,160
2024-09-02 00:00:00.000000000,FAR1,480
2024-09-12 00:00:00.000000000,FAR1,80
2024-09-26 00:00:00.000000000,FAR1,80
2024-10-02 00:00:00.000000000,FAR1,520
2024-10-09 00:00:00.000000000,FAR1,240
2024-10-24 00:00:00.000000000,FAR1,40
2024-11-13 00:00:00.000000000,FAR1,1760
2024-11-18 00:00:00.000000000,FAR1,20
2024-11-25 00:00:00.000000000,FAR1,160
2024-12-02 00:00:00.000000000,FAR1,20
2024-12-11 00:00:00.000000000,FAR1,120
2024-12-16 00:00:00.000000000,FAR1,40
2025-01-13 00:00:00.000000000,FAR1,20
2025-01-27 00:00:00.000000000,FAR1,20
2025-02-03 00:00:00.000000000,FAR1,20
2025-02-12 00:00:00.000000000,FAR1,40
2025-02-17 00:00:00.000000000,FAR1,20
2025-02-26 00:00:00.000000000,FAR1,40
2025-03-05 00:00:00.000000000,FAR1,20
2025-03-10 00:00:00.000000000,FAR1,20
2025-03-19 00:00:00.000000000,FAR1,40
2025-03-26 00:00:00.000000000,FAR1,20
2025-04-02 00:00:00.000000000,FAR1,20
2025-04-14 00:00:00.000000000,FAR1,20
2025-04-23 00:00:00.000000000,FAR1,40
2025-05-07 00:00:00.000000000,FAR1,20
2025-05-12 00:00:00.000000000,FAR1,20
2025-05-21 00:00:00.000000000,FAR1,20
2025-06-04 00:00:00.000000000,FAR1,20
2025-06-23 00:00:00.000000000,FAR1,20
2025-07-09 00:00:00.000000000,FAR1,20
2025-07-16 00:00:00.000000000,FAR1,20
2025-07-21 00:00:00.000000000,FAR1,20
2025-07-28 00:00:00.000000000,FAR1,20
2025-08-27 00:00:00.000000000,FAR1,20
2025-09-08 00:00:00.000000000,FAR1,20
2025-09-17 00:00:00.000000000,FAR1,20
2025-09-22 00:00:00.000000000,FAR1,20
2025-10-01 00:00:00.000000000,FAR1,20
2025-10-06 00:00:00.000000000,FAR1,20
2025-10-15 00:00:00.000000000,FAR1,20
2025-10-20 00:00:00.000000000,FAR1,20
2025-11-05 00:00:00.000000000,FAR1,80
2025-11-10 00:00:00.000000000,FAR1,40
2025-11-17 00:00:00.000000000,FAR1,40
2025-12-22 00:00:00.000000000,FAR1,20
2021-01-06 00:00:00.000000000,L5b,20
2021-01-11 00:00:00.000000000,L5b,20
2021-01-13 00:00:00.000000000,L5b,20
2021-01-20 00:00:00.000000000,L5b,20
2021-01-26 00:00:00.000000000,L5b,40
2021-01-26 00:00:00.000000000,L5b,20
2021-02-03 00:00:00.000000000,L5b,20
2021-02-10 00:00:00.000000000,L5b,20
2021-02-11 00:00:00.000000000,L5b,20
2021-02-18 00:00:00.000000000,L5b,440
2021-02-24 00:00:00.000000000,L5b,220
2021-02-26 00:00:00.000000000,L5b,60
2021-03-02 00:00:00.000000000,L5b,160
2021-03-11 00:00:00.000000000,L5b,40
2021-03-12 00:00:00.000000000,L5b,20
