Station,date,dsp_toxins
L7c1,2021-01-11,36.0
L7c1,2021-01-17,36.0
L7c1,2021-01-26,36.0
L7c1,2021-02-01,36.0
L7c1,2021-02-08,36.0
L7c1,2021-02-14,36.0
L7c1,2021-02-23,36.0
L7c1,2021-02-28,36.0
L7c1,2021-03-09,119.34539339333787
L7c1,2021-03-15,36.0
L7c1,2021-03-22,36.0
L7c1,2021-04-06,56.382872770342246
L7c1,2021-04-12,36.0
L7c1,2021-04-20,36.0
L7c1,2021-04-26,75.86271032389563
L7c1,2021-05-03,36.0
L7c1,2021-05-10,36.0
L7c1,2021-05-17,36.0
L7c1,2021-05-31,36.0
L7c1,2021-06-07,36.0
L7c1,2021-06-14,104.88199732697107
L7c1,2021-06-21,158.25223161303566
L7c1,2021-06-28,83.0
L7c1,2021-07-05,72.0
L7c1,2021-07-12,74.0
L7c1,2021-07-20,36.0
L7c1,2021-07-26,36.0
L7c1,2021-08-02,36.0
L7c1,2021-08-09,36.0
L7c1,2021-08-16,36.0
L7c1,2021-08-24,56.112242705322885
L7c1,2021-08-30,124.30195694580826
L7c1,2021-09-06,162.58221595773898
L7c1,2021-09-11,114.99110959040998
L7c1,2021-09-13,176.06003299640122
L7c1,2021-09-14,188.57416642935615
L7c1,2021-09-16,193.64865428689464
L7c1,2021-09-18,36.0
L7c1,2021-09-20,94.967833079786
L7c1,2021-09-27,148.78014782499366
L7c1,2021-10-06,36.0
L7c1,2021-10-12,25.33386691870845
L7c1,2021-10-19,36.0
L7c1,2021-10-25,36.0
L7c1,2021-11-02,36.0
L7c1,2021-11-08,36.0
L7c1,2021-11-15,36.0
L7c1,2021-11-22,36.0
L7c1,2021-11-29,36.0
L7c1,2021-12-06,36.0
L7c1,2021-12-13,36.0
L7c1,2021-12-23,61.0
L7c1,2022-01-03,36.0
L7c1,2022-01-10,36.0
L7c1,2022-01-17,36.0
L7c1,2022-01-24,36.0
L7c1,2022-01-31,36.0
L7c1,2022-02-07,36.0
L7c1,2022-02-14,36.0
L7c1,2022-02-21,36.0
